Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
200 BR,2:24.94,2:24.94,13,784,"""AAAA""",2010 CC Juanita Allington Memorial Meet,CC,RA,3/4/2010
200 BR,2:25.07,2:25.07,16,721,"""AAA""",2013 CC FDST Sr Prelims/Finals Meet,CC,RA,1/25/2013
200 BR,2:25.36,2:25.36,16,717,"""AAA""",2013 CC FDST Sr Prelims/Finals Meet,CC,RA,1/25/2013
200 BR,2:25.62,2:25.62,12,839,"""AAAA""",2009 PC ALMA SCY FARW SC CHMP,CC,RTA,4/2/2009
200 BR,2:26.64,2:26.64,15,729,"""AAA""",2012 SI Senior Classic,CC,RA,2/17/2012
200 BR,2:26.77,2:26.77,16,696,"""AAA""",2012 CA Kevin B. Perry Senior,CC,RA,11/9/2012
200 BR,2:26.87,2:26.87,13,756,"""AAA""",2010 CA SO CAL GRAND PRIX,CC,UN,1/15/2010
200 BR,2:27.17,2:27.17,16,690,"""AAA""",2013 CC Short Course Junior Olympics,CC,RA,2/15/2013
200 BR,2:27.55,2:27.55,13,746,"""AAA""",2009 CA PUMA Cancer Awareness & Coast,CC,UN,10/31/2009
200 BR,2:27.64,2:27.64,13,744,"""AAA""",2010 SI CC-SN-SI All-Star Tri-Meet,CC,RA,1/23/2010
200 BR,2:27.65,2:27.65,13,744,"""AAA""",2009 CA - Speedo CA-NV Winter,CC,UN,12/18/2009
200 BR,2:28.07,2:28.07,14,707,"""AAA""",2010 MN Grand Prix,CC,RA,11/12/2010
200 BR,2:28.21,2:28.21,13,736,"""AAA""",2010 CC Juanita Allington Memorial Meet,CC,RA,3/4/2010
200 BR,2:28.55,2:28.55,11,920,"""AAAA""",2008 PC FAR WESTERN,CC,RTA,4/3/2008
200 BR,2:28.60,2:28.60,15,700,"""AAA""",2011 CA SBSC IMX Challenge Swi,CC,RA,10/15/2011
200 BR,2:29.52,2:29.52,15,687,"""AAA""",2011 CC TNT Winterfest ABC  Age Group,CC,RA,12/10/2011
200 BR,2:29.53,2:29.53,13,717,"""AAA""",2010 CC CCS Junior Olympics,CC,RA,2/12/2010
200 BR,2:29.77,2:29.77,11,905,"""AAAA""",2008 PC FAR WESTERN,CC,RTA,4/3/2008
200 BR,2:29.96,2:29.96,12,782,"""AAAA""",2009 SN All-Star Tri-Meet Invitat,CC,RTA,1/24/2009
200 BR,2:30.41,2:30.41,16,643,"""AA""",2012 CA Kevin B. Perry Senior,CC,RA,11/9/2012
200 BR,2:30.86,2:30.86,13,698,"""AAA""",2009 CA Canyons Aquatic Cranbe,CC,UN,11/20/2009
200 BR,2:31.62,2:31.62,12,760,"""AAAA""",2009 PC ALMA SCY FARW SC CHMP,CC,RTA,4/2/2009
200 BR,2:31.73,2:31.73,13,685,"""AAA""",2010 CC All Star Qualifying Meet,CC,UN,1/9/2010
200 BR,2:32.18,2:32.18,11,874,"""AAAA""",2008 CC Juanita Allington Sr Qual,CC,RTA,2/28/2008
200 BR,2:32.72,2:32.72,15,641,"""AA""",2011 CA Canyons Cranberry Clas,CC,RA,11/18/2011
200 BR,2:33.58,2:33.58,12,735,"""AAAA""",2008 CA 2008 SLO Gobbler Class,CC,RTA,11/21/2008
200 BR,2:34.24,2:34.24,12,727,"""AAAA""",2009 CC Bjorklund Invitational,CC,RTA,5/16/2009
200 BR,2:34.65,2:34.65,11,843,"""AAAA""",2008 CC Juanita Allington Sr Qual,CC,RTA,2/28/2008
200 BR,2:34.96,2:34.96,11,839,"""AAAA""",2008 CC All Star Meet,CC,RTA,1/26/2008
200 BR,2:36.10,2:36.10,12,703,"""AAA""",2008 CC TNT OCTOBERFEST,CC,RTA,10/11/2008
200 BR,2:36.27,2:36.27,17,545,"""A""",2013 CA Canyons Cranberry Clas,CC,RA,11/22/2013
200 BR,2:36.74,2:36.74,11,817,"""AAA""",2008 CC CCS All Star Selection Meet,CC,RTA,1/12/2008
200 BR,2:37.14,2:37.14,11,812,"""AAA""",2007 CA SLO Gobbler Classic,CC,RTA,11/16/2007
