Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
200 BK,1:42.99,1:42.99,22,989,2019 Summer Nationals (LCM),2016 Georgia Tech Fall Invitat,FL,UN,11/19/2016
200 BK,1:43.87,1:43.87,23,968,2019 Summer Nationals (LCM),Purdue Invite 2017,FL,UN,11/18/2017
200 BK,1:44.10,1:44.10,23,963,2019 Summer Nationals (LCM),UF vs. AUB 012018,FL,UN,1/20/2018
200 BK,1:48.47,1:48.47,22,862,"""AAAA""",Florida State University vs Un,FL,UN,10/13/2016
200 BK,1:49.15,1:49.15,24,847,"""AAAA""",2018 FL Patriot Aquatics Winter Invite,FL,GSC,11/11/2018
200 BK,1:51.39,1:51.39,23,797,2019 Futures,2017 All Florida Invitational,FL,UN,9/24/2017
100 BR,55.85,55.85,23,861,2018 Winter Nationals (LCM),UF vs. FAU 010618,FL,UN,1/6/2018
100 BR,56.26,56.26,23,845,"""AAAA""",2017 All Florida Invitational,FL,UN,9/23/2017
100 BR,56.52,56.52,23,834,"""AAAA""",2017 All Florida Invitational,FL,UN,9/23/2017
100 FL,44.49,44.49,24,1080,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,FL,UN,3/23/2018
100 FL,45.09,45.09,24,1048,2019 Summer Nationals (LCM),2018 NCAA Division 1 Men's Swi,FL,UN,3/23/2018
100 FL,45.26,45.26,24,1039,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,FL,UN,2/16/2018
100 FL,45.59,45.59,23,1022,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,FL,UN,2/16/2017
100 FL,45.95,45.95,24,1003,2019 Summer Nationals (LCM),2018 SEC Swimming & Diving Cha,FL,UN,2/16/2018
100 FL,46.14,46.14,22,994,2019 Summer Nationals (LCM),2016 SEC Swimming & Diving Cha,FL,UN,2/18/2016
100 FL,46.16,46.16,22,993,2019 Summer Nationals (LCM),2016 SEC Swimming & Diving Cha,FL,UN,2/18/2016
100 FL,46.22,46.22,23,990,2019 Summer Nationals (LCM),2017 SEC Swimming & Diving Cha,FL,UN,2/16/2017
100 FL,46.67,46.67,21,966,2019 Summer Nationals (LCM),Ohio State Invitational,FL,UN,11/21/2015
100 FL,46.68,46.68,23,966,2019 Summer Nationals (LCM),Purdue Invite 2017,FL,UN,11/17/2017
100 FL,47.02,47.02,23,949,2019 Summer Nationals (LCM),2017 UF vs. Georgia,FL,UN,10/27/2017
100 FL,47.08,47.08,24,946,2019 Summer Nationals (LCM),2018 Tennessee vs Florida,FL,UN,1/26/2018
100 FL,47.19,47.19,23,940,2019 Summer Nationals (LCM),University of Florida vs. Tenn,FL,UN,1/28/2017
100 FL,47.61,47.61,23,919,2017 US Open,UF vs. FSU 010518,FL,UN,1/5/2018
100 FL,47.87,47.87,23,906,2017 US Open,Alabama v Florida,FL,UN,10/25/2017
